Country,Year,Yearly Average Temperature,Population
United States,1998,10.141166666666669,275854000
Australia,1999,22.0645,18812264
Brazil,1999,25.286583333333336,173486281
Germany,1999,9.62075,82100243
India,1999,24.65983333333333,1040500054
South Africa,1999,18.5455,46364681
United States,1999,9.567,279040000
Australia,2000,21.709666666666667,19028802
Brazil,2000,25.1965,175873720
Germany,2000,10.020416666666666,82211508
India,2000,24.498,1059633675
South Africa,2000,17.585583333333336,46813266
United States,2000,9.64975,282162411
Australia,2001,21.79275,19274701
Brazil,2001,25.504416666666668,178211881
Germany,2001,9.090416666666666,82349925
India,2001,24.581916666666668,1078970907
South Africa,2001,17.867916666666666,47229714
United States,2001,9.785583333333332,284968955
Australia,2002,22.46083333333333,19495210
Brazil,2002,25.80033333333333,180476685
Germany,2002,9.637333333333334,82488495
India,2002,24.913,1098313039
South Africa,2002,17.949416666666668,47661514
United States,2002,9.816166666666666,287625193
Australia,2003,22.44033333333333,19720737
Brazil,2003,25.621,182629278
Germany,2003,9.49425,82534176
India,2003,24.649916666666662,1117415123
South Africa,2003,18.261666666666667,48104048
United States,2003,9.755083333333332,290107933
Australia,2004,22.286916666666663,19932722
Brazil,2004,25.4965,184722043
Germany,2004,9.053416666666667,82516260
India,2004,24.63458333333333,1136264583
South Africa,2004,18.082833333333337,48556071
United States,2004,9.6675,292805298
Australia,2005,22.896833333333333,20176844
Brazil,2005,25.806,186797334
Germany,2005,9.128416666666666,82469422
India,2005,24.495416666666667,1154638713
South Africa,2005,18.217916666666667,49017147
United States,2005,9.892666666666669,295516599
Australia,2006,22.264416666666666,20450966
Brazil,2006,25.517,188820682
Germany,2006,9.706,82376451
India,2006,24.732083333333332,1172373788
South Africa,2006,17.5975,49491756
United States,2006,9.9745,298379912
Australia,2007,22.48675,20827622
Brazil,2007,25.668000000000003,190779453
Germany,2007,9.9975,82266372
India,2007,24.649916666666662,1189691809
South Africa,2007,17.98625,49996094
United States,2007,9.8375,301231207
Australia,2008,22.225916666666667,21249199
Brazil,2008,25.41033333333333,192672317
Germany,2008,9.642166666666666,82110097
India,2008,24.406,1206734806
South Africa,2008,17.956083333333336,50565812
United States,2008,8.951416666666667,304093966
Australia,2009,22.690583333333333,21691653
Brazil,2009,25.600583333333333,194517549
Germany,2009,9.359166666666669,81902307
India,2009,25.146666666666665,1223640160
