Year,South Africa Yearly Avg Temp,India Yearly Avg Temp,Germany Yearly Avg Temp,US Yearly Avg Temp,Brazil Yearly Avg Temp,Australia Yearly Avg Temp
1950,17.451166666666666,23.659333333333336,8.653416666666667,8.656416666666667,24.639,21.322916666666668
1951,17.002333333333336,24.22066666666667,8.816416666666667,8.416583333333334,24.79733333333333,21.557
1952,17.517500000000002,24.3655,8.006833333333333,8.979416666666667,24.85166666666667,21.487
1953,17.312416666666667,24.56158333333333,9.067,9.530416666666666,24.99558333333333,21.47458333333333
1954,17.066583333333334,24.167166666666663,7.788833333333334,9.410583333333332,24.967,21.558666666666667
1955,16.601833333333335,23.952166666666667,7.684083333333334,8.517166666666666,24.765500000000003,21.56308333333333
1956,17.09325,23.899666666666665,6.9695,8.699916666666667,24.47966666666667,21.006
1957,17.426333333333332,24.026416666666663,8.686083333333334,9.126333333333331,24.801916666666667,21.902666666666665
1958,17.422833333333333,24.67633333333333,8.325833333333334,8.970166666666668,25.268083333333333,21.99725
1959,17.33216666666667,24.26683333333333,9.18275,8.825333333333333,25.15725,22.098166666666668
1960,17.571583333333333,24.287166666666668,8.514166666666666,8.69225,24.75266666666667,21.2105
1961,17.545166666666667,23.81525,9.124166666666666,8.642000000000001,25.146416666666667,21.964250000000003
1962,17.738666666666667,23.88475,7.324916666666667,8.9565,24.84233333333333,21.802916666666665
1963,17.50583333333333,24.09575,7.2205,9.08,25.17158333333333,21.69783333333333
1964,17.262,24.0705,8.236333333333333,8.491666666666667,24.73408333333333,21.65075
1965,17.399916666666666,24.09091666666667,7.633,8.647666666666668,24.983833333333333,22.09208333333333
1966,17.80666666666667,24.438583333333337,8.645666666666667,8.483,25.08641666666667,21.361
1967,17.307833333333335,23.992083333333337,9.041666666666666,8.902,25.013666666666666,21.625416666666663
1968,17.043583333333334,23.86475,8.323583333333334,8.55325,24.63125,21.462166666666665
1969,17.772333333333332,24.501166666666663,7.913,8.770833333333334,25.282750000000004,21.847583333333333
1970,17.72025,24.07408333333333,7.856083333333334,8.673,25.19108333333333,21.77575
1971,17.28575,23.634,8.600166666666667,8.4425,24.608500000000003,21.65433333333333
1972,17.621166666666667,24.272166666666667,8.054833333333333,8.428083333333333,25.09733333333333,22.012083333333333
1973,17.584416666666666,24.38658333333333,8.402833333333334,8.934666666666667,25.169583333333332,22.41275
1974,17.175416666666667,24.17575,8.970416666666667,8.815916666666666,24.5815,21.23808333333333
1975,17.1505,23.862166666666667,9.093666666666667,8.431,24.67675,21.692666666666668
1976,16.963833333333334,24.199583333333333,8.6505,8.65125,24.719000000000005,21.193416666666668
1977,17.66,24.28891666666667,8.804833333333333,9.269833333333333,25.13233333333333,21.8925
1978,17.40975,24.00733333333333,7.932749999999999,8.751416666666666,24.9275,21.605166666666666
1979,17.789833333333334,24.553583333333336,7.901666666666666,8.571583333333333,24.944333333333333,22.252333333333336
1980,17.609833333333334,24.593083333333336,7.727250000000001,9.1355,25.148,22.586166666666667
1981,17.115750000000002,24.228416666666664,8.320500000000001,9.7215,24.983416666666667,22.16408333333333
1982,17.752083333333335,24.21825,9.073333333333334,8.5395,25.23033333333333,21.9105
1983,18.20358333333333,23.938,9.185666666666668,8.912333333333333,25.35075,22.26108333333333
1984,17.96816666666667,24.18508333333333,8.123,8.811166666666667,25.109916666666667,21.516916666666663
1985,18.056083333333333,24.48633333333333,7.613333333333333,8.587000000000002,24.965666666666667,22.04341666666667
1986,17.955000000000002,24.2945,8.085083333333333,9.5595,25.131,22.09325
1987,18.103583333333333,24.78908333333333,7.58925,9.628166666666669,25.56341666666667,22.07241666666667
1988,17.628833333333333,24.72775,9.195583333333332,9.275333333333334,25.177333333333337,22.63008333333333
1989,17.406166666666667,24.162333333333333,9.679833333333333,8.873083333333334,24.871416666666665,21.86283333333333
1990,17.728333333333335,24.17816666666667,9.6895,9.521583333333334,25.27491666666667,22.35575
1991,17.752,24.311750000000004,8.523083333333334,9.493666666666666,25.29216666666667,22.48741666666667
1992,18.25616666666667,24.222916666666663,9.505833333333332,9.056333333333331,25.25133333333333,21.932583333333337
1993,18.20275,24.408666666666665,8.6335,8.86725,25.354916666666668,22.16016666666667
1994,17.61475,24.29641666666667,9.847,9.270333333333332,25.454666666666668,22.03025
1995,17.87075,24.42975,9.0335,9.331,25.55441666666667,21.955166666666667
1996,17.258666666666667,24.436916666666665,7.374416666666666,8.754333333333333,25.33783333333333,22.325333333333333
1997,17.61525,24.04733333333333,9.048666666666668,9.172916666666667,25.559416666666667,22.086
1998,18.095333333333333,24.755416666666665,9.17175,10.141166666666669,25.95875,22.66483333333333
1999,18.5455,24.65983333333333,9.62075,9.567,25.286583333333336,22.0645
2000,17.585583333333336,24.498,10.020416666666666,9.64975,25.1965,21.709666666666667
2001,17.867916666666666,24.581916666666668,9.090416666666666,9.785583333333332,25.504416666666668,21.79275
2002,17.949416666666668,24.913,9.637333333333334,9.816166666666666,25.80033333333333,22.46083333333333
2003,18.261666666666667,24.649916666666662,9.49425,9.755083333333332,25.621,22.44033333333333
2004,18.082833333333337,24.63458333333333,9.053416666666667,9.6675,25.4965,22.286916666666663
2005,18.217916666666667,24.495416666666667,9.128416666666666,9.892666666666669,25.806,22.896833333333333
2006,17.5975,24.732083333333332,9.706,9.9745,25.517,22.264416666666666
2007,17.98625,24.649916666666662,9.9975,9.8375,25.668000000000003,22.48675
2008,17.956083333333336,24.406,9.642166666666666,8.951416666666667,25.41033333333333,22.225916666666667
2009,17.886,25.146666666666665,9.359166666666669,9.137083333333331,25.600583333333333,22.690583333333333
2010,18.302666666666667,25.050833333333333,8.009,9.505583333333334,25.812416666666667,22.078166666666664
2011,17.552416666666666,24.41558333333333,9.819583333333334,9.549916666666666,25.428916666666662,21.767
2012,17.84691666666667,24.640833333333333,9.227166666666667,10.261083333333334,25.71708333333333,22.0245
2013,17.325375,25.41325,9.23525,11.297111111111112,25.348125,22.142875
